Main_Account_ID,Main_Account_Name,Customer_type,Company_Status,Gross_Turnover,Amount,Invoice_count,Main_account_count,SKU_count,Cluster,Gross_Turnover_percluster,Amount_percluster,Invoice_count_percluster,Customer_count_percluster,GT_share%_incluster,Broadband and Internet Services,Business Solutions,Cloud and Hosting Services,Data and Analytics,Devices and Accessories,Digital Transformation Services,IoT and Smart Solutions,Mobile Services,Network and Infrastructure,Security and Privacy,Television and Entertainment,Cluster_Label
100141,Customer Group_2394,D,Active,86234.1994,576,12,1,35,0,482424738.9238,44136513,177729,1886,0.02,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100159,Customer Group_556,A-B,Active,531025.9022,22256,309,1,514,0,482424738.9238,44136513,177729,1886,0.11,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100182,Customer Group_2996,A-B,Normal,187723.1136,772,49,1,63,2,189788119.6013,15100916,63173,1405,0.1,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100185,Customer Group_209,A-B,Active,1951.6057,54,4,1,7,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100192,Customer Group_1902,D,Normal,14498.7968,123,11,1,29,1,54267509.927,6574665,16023,439,0.03,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100208,Customer Group_1817,A-B,Normal,8921.291500000001,695,7,1,14,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100209,Customer Group_3735,D,Normal,73890.1133,56027,24,1,108,0,482424738.9238,44136513,177729,1886,0.02,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100211,Customer Group_1537,D,Normal,1738.9529,114,4,1,9,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100227,Customer Group_2570,D,Normal,23857.8218,2135,22,1,71,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100228,Customer Group_3066,A-B,Normal,22142.6622,8841,34,1,67,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100231,Customer Group_1818,A-B,Normal,111052.3691,97971,74,1,95,0,482424738.9238,44136513,177729,1886,0.02,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100240,Customer Group_2699,A-B,Normal,24525.4324,1088,23,1,28,1,54267509.927,6574665,16023,439,0.05,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
10025,Customer Group_130,A-B,Normal,54065.1114,1638,58,1,89,1,54267509.927,6574665,16023,439,0.1,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100254,Customer Group_1819,A-B,Normal,106574.53719999999,4955,63,1,106,0,482424738.9238,44136513,177729,1886,0.02,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100257,Customer Group_557,C,Normal,54432.8595,1106,10,1,7,2,189788119.6013,15100916,63173,1405,0.03,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100258,Customer Group_1504,D,Normal,12447.2836,901,14,1,28,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100259,Customer Group_1045,D,Normal,10015.3664,203,23,1,41,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100272,Customer Group_1932,A-B,Normal,509828.3658,26428,281,1,372,0,482424738.9238,44136513,177729,1886,0.11,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100278,Customer Group_1046,D,Normal,5843.7555999999995,251,10,1,25,1,54267509.927,6574665,16023,439,0.01,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100290,Customer Group_1428,D,Active,11135.0492,403,7,1,12,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100309,Customer Group_304,A-B,Normal,53827.5644,141,16,1,19,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100314,Customer Group_1505,A-B,Normal,392828.9256,32423,285,1,458,0,482424738.9238,44136513,177729,1886,0.08,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100316,Customer Group_1047,D,Normal,12033.424500000001,174,11,1,17,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100318,Customer Group_1429,D,Active,3918.0554,1278,6,1,17,1,54267509.927,6574665,16023,439,0.01,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100326,Customer Group_558,A-B,Normal,2864426.8343,185608,1874,1,2342,0,482424738.9238,44136513,177729,1886,0.59,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
10033,Customer Group_109,A-B,Normal,116125.0912,10783,137,1,228,0,482424738.9238,44136513,177729,1886,0.02,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100331,Customer Group_1211,A-B,Normal,1140308.6287,123330,317,1,531,0,482424738.9238,44136513,177729,1886,0.24,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100332,Customer Group_2671,A-B,Active,38493.548,138,8,1,17,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100340,Customer Group_4311,D,Normal,21768.1046,161,4,1,11,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100344,Customer Group_559,C,Normal,50017.5397,1619,27,1,37,2,189788119.6013,15100916,63173,1405,0.03,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100353,Customer Group_1048,D,Active,13326.9796,670,22,1,41,1,54267509.927,6574665,16023,439,0.02,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100362,Customer Group_3090,D,Normal,3207.1181,130,3,1,9,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100364,Customer Group_1212,A-B,Normal,274030.193,25059,233,1,288,0,482424738.9238,44136513,177729,1886,0.06,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100369,Customer Group_2469,A-B,Normal,43332.8062,4252,21,1,32,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100370,Customer Group_2228,D,Normal,4083.9836999999998,470,11,1,16,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100377,Customer Group_560,A-B,Normal,994560.814,80760,410,1,398,0,482424738.9238,44136513,177729,1886,0.21,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100383,Customer Group_1112,A-B,Normal,1084761.7497,65240,598,1,1237,2,189788119.6013,15100916,63173,1405,0.57,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100390,Customer Group_2449,A-B,Normal,28160.9345,1397,21,1,36,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100398,Customer Group_561,A-B,Normal,1602849.9904,68402,482,1,737,0,482424738.9238,44136513,177729,1886,0.33,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100408,Customer Group_1213,C,Normal,19186.9555,1686,32,1,59,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100444,Customer Group_2397,D,Normal,183454.0544,1802,27,1,43,2,189788119.6013,15100916,63173,1405,0.1,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100455,Customer Group_1820,D,Active,47402.2793,297,17,1,31,2,189788119.6013,15100916,63173,1405,0.02,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100470,Customer Group_1430,D,Active,7101.7052,76,9,1,13,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
10048,Customer Group_30,D,Normal,1304.6743999999999,207,5,1,5,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100516,Customer Group_1009,A-B,Active,15703.958999999999,975,14,1,41,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100524,Customer Group_1903,C,Active,23442.0481,696,16,1,41,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100537,Customer Group_562,D,Active,30621.6439,800,14,1,24,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100540,Customer Group_1821,A-B,Normal,361682.8729,71361,206,1,182,1,54267509.927,6574665,16023,439,0.67,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
10056,Customer Group_65,C,Normal,29304.206700000002,318,14,1,21,1,54267509.927,6574665,16023,439,0.05,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100608,Customer Group_1049,D,Active,1798.7905,124,6,1,7,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100624,Customer Group_1822,C,Active,30363.5611,3908,28,1,86,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100647,Customer Group_1594,A-B,Active,15399.8095,204,10,1,24,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100661,Customer Group_1632,C,Normal,66125.4523,9635,47,1,54,2,189788119.6013,15100916,63173,1405,0.03,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100663,Customer Group_563,A-B,Normal,95164.9348,8747,56,1,56,2,189788119.6013,15100916,63173,1405,0.05,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100669,Customer Group_209,A-B,Active,1818.0935,376,11,1,20,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100688,Customer Group_3168,D,Normal,2488.4892,6,3,1,5,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100694,Customer Group_564,A-B,Normal,637270.858,16280,414,1,579,0,482424738.9238,44136513,177729,1886,0.13,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100715,Customer Group_1904,A-B,Normal,807907.5723,24979,218,1,415,0,482424738.9238,44136513,177729,1886,0.17,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100734,Customer Group_1506,D,Normal,708.7512,9,3,1,4,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100745,Customer Group_2510,C,Normal,5616.872600000001,1189,6,1,13,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100749,Customer Group_1933,D,Normal,43445.6297,2634,20,1,93,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100788,Customer Group_1051,D,Active,14649.2627,496,9,1,34,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100790,Customer Group_1714,D,Active,3596.4835,659,4,1,10,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100821,Customer Group_565,A-B,Normal,3395917.9312,579624,968,1,828,0,482424738.9238,44136513,177729,1886,0.7,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100856,Customer Group_1214,A-B,Active,4790.0558,37,19,1,13,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100858,Customer Group_1798,A-B,Normal,22040.578100000002,144,11,1,13,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100875,Customer Group_1052,D,Normal,23979.3516,340,23,1,30,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100878,Customer Group_3508,D,Normal,23173.686700000002,30,3,1,16,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100883,Customer Group_1959,A-B,Normal,334641.7167,86065,68,1,343,0,482424738.9238,44136513,177729,1886,0.07,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100900,Customer Group_566,A-B,Normal,560532.523,41225,338,1,565,0,482424738.9238,44136513,177729,1886,0.12,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100906,Customer Group_1431,D,Active,951.8352,121,5,1,8,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100937,Customer Group_1329,C,Normal,46229.1825,887,33,1,49,2,189788119.6013,15100916,63173,1405,0.02,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
10095,Customer Group_223,D,Normal,8793.4286,303,7,1,16,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100963,Customer Group_2036,A-B,Active,4099.8719,174,3,1,17,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
100975,Customer Group_1432,D,Active,2530.9834,49,4,1,10,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100983,Customer Group_2812,A-B,Normal,453127.2123,1082016,49,1,181,0,482424738.9238,44136513,177729,1886,0.09,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100991,Customer Group_2451,D,Active,234.786,131,2,1,2,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
100993,Customer Group_2488,A-B,Normal,696611.7295,128402,132,1,184,0,482424738.9238,44136513,177729,1886,0.14,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
100994,Customer Group_1823,D,Normal,22632.1753,1803,44,1,97,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101005,Customer Group_180,A-B,Active,55030.6366,1141,40,1,46,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101009,Customer Group_305,A-B,Normal,298837.682,9130,138,1,102,0,482424738.9238,44136513,177729,1886,0.06,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101013,Customer Group_1538,C,Normal,594819.1259,8603,90,1,90,2,189788119.6013,15100916,63173,1405,0.31,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
101024,Customer Group_1507,C,Active,73779.1772,1199,50,1,86,2,189788119.6013,15100916,63173,1405,0.04,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
101046,Customer Group_3169,D,Normal,23839.7168,93,13,1,24,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101051,Customer Group_1508,C,Normal,352303.7186,424293,196,1,258,0,482424738.9238,44136513,177729,1886,0.07,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101052,Customer Group_3143,D,Normal,43328.8612,118,9,1,27,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101063,Customer Group_568,A-B,Normal,6025772.5542,358774,2698,1,4387,0,482424738.9238,44136513,177729,1886,1.25,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101081,Customer Group_1122,A-B,Normal,156314.2929,4631,119,1,234,0,482424738.9238,44136513,177729,1886,0.03,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101091,Customer Group_4953,A-B,Normal,233735.0157,15102,104,1,202,0,482424738.9238,44136513,177729,1886,0.05,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101100,Customer Group_5501,D,Normal,12209.7434,18,4,1,4,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
101101,Customer Group_5315,A-B,Normal,125525.2402,3914,75,1,110,1,54267509.927,6574665,16023,439,0.23,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
101119,Customer Group_5158,D,Normal,1078.392,14,1,1,1,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
101130,Customer Group_4796,C,Normal,17781.8229,1227,18,1,24,2,189788119.6013,15100916,63173,1405,0.01,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
101145,Customer Group_5205,A-B,Normal,70540.3964,1803,49,1,80,2,189788119.6013,15100916,63173,1405,0.04,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
101146,Customer Group_5299,D,Active,115969.1309,586,6,1,17,1,54267509.927,6574665,16023,439,0.21,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
101154,Customer Group_4464,A-B,Normal,822117.6434,98884,316,1,790,0,482424738.9238,44136513,177729,1886,0.17,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101180,Customer Group_5565,D,Normal,164995.4072,189033,12,1,253,0,482424738.9238,44136513,177729,1886,0.03,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101209,Customer Group_4557,D,Active,3312.4709,61,8,1,12,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101219,Customer Group_4653,D,Active,94.4547,261,2,1,3,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
101225,Customer Group_5359,D,Active,13371.6208,7,3,1,5,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101255,Customer Group_4746,C,Normal,14194.9767,79,10,1,8,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101258,Customer Group_4654,D,Normal,4705.7679,127,5,1,5,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101261,Customer Group_5408,A-B,Normal,108892.5213,3176,39,1,40,0,482424738.9238,44136513,177729,1886,0.02,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101285,Customer Group_4932,A-B,Normal,633406.6474,8506,46,1,92,0,482424738.9238,44136513,177729,1886,0.13,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101293,Customer Group_4843,C,Active,4346.237,120,7,1,15,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101296,Customer Group_4797,A-B,Normal,21710.6022,1308,39,1,69,0,482424738.9238,44136513,177729,1886,0.0,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101376,Customer Group_5449,D,Normal,1286.9847,18,3,1,4,1,54267509.927,6574665,16023,439,0.0,13.34,8.4,10.39,6.57,9.78,9.69,6.72,12.43,16.17,5.5,69.6,TV Focus
101384,Customer Group_2130,A-B,Normal,1178390.8895,29122,181,1,342,0,482424738.9238,44136513,177729,1886,0.24,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101387,Customer Group_4559,D,Normal,50527.8559,2783,95,1,142,0,482424738.9238,44136513,177729,1886,0.01,23.74,14.38,8.33,5.66,10.0,19.81,2.09,9.5,42.61,4.47,13.68,Network Focus
101410,Customer Group_5559,D,Normal,2884.5166,28,7,1,9,2,189788119.6013,15100916,63173,1405,0.0,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
101424,Customer Group_5324,C,Normal,74449.8767,1488,12,1,53,2,189788119.6013,15100916,63173,1405,0.04,7.71,5.98,27.18,16.75,21.84,7.61,12.84,34.4,15.55,25.37,12.22,Cloud & Mobile
